产品成本,快递费,总计,定价,产品毛利,固定12%费用,实际产品毛利,理论投产,付费损耗20%根据店铺实际退款率（周报为准）,保底投产,投入花费,实际产出销售额,退款后金额,投入产出毛利,实际产出毛利,实际利润率
10,2.5,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.9 ,1000,6880.38130381304,5504.3 ,1660.5 ,660.5 ,12.00%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.8 ,1000,6800,5440.0 ,1641.1 ,641.1 ,11.79%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.7 ,1000,6700,5360.0 ,1617.0 ,617.0 ,11.51%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.6 ,1000,6600,5280.0 ,1592.8 ,592.8 ,11.23%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.5 ,1000,6500,5200.0 ,1568.7 ,568.7 ,10.94%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.4 ,1000,6400,5120.0 ,1544.6 ,544.6 ,10.64%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,6.3 ,1000,6300,5040.0 ,1520.4 ,520.4 ,10.33%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.0 ,1000,7000,5600.0 ,1689.4 ,689.4 ,12.31%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.1 ,1000,7100,5680.0 ,1713.5 ,713.5 ,12.56%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.2 ,1000,7200,5760.0 ,1737.7 ,737.7 ,12.81%
,,12.5,17.9,30.17%,12.00%,18.2%,5.50 ,0.8,7.3 ,1000,7300,5840.0 ,1761.8 ,761.8 ,13.04%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.3 ,1000,17327.4818401937,13862.0 ,2663.4 ,1663.4 ,12.00%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.4 ,1000,17400,13920.0 ,2674.6 ,1674.6 ,12.03%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.5 ,1000,17500,14000.0 ,2690.0 ,1690.0 ,12.07%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,18.0 ,1000,18000,14400.0 ,2766.8 ,1766.8 ,12.27%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,19.0 ,1000,19000,15200.0 ,2920.5 ,1920.5 ,12.64%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,20.0 ,1000,20000,16000.0 ,3074.2 ,2074.2 ,12.96%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,21.0 ,1000,21000,16800.0 ,3227.9 ,2227.9 ,13.26%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.2 ,1000,17200,13760.0 ,2643.8 ,1643.8 ,11.95%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.1 ,1000,17100,13680.0 ,2628.5 ,1628.5 ,11.90%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,17.0 ,1000,17000,13600.0 ,2613.1 ,1613.1 ,11.86%
15,3.5,18.5,22.9,19.21%,12.00%,7.2%,13.86 ,0.8,16.0 ,1000,16000,12800.0 ,2459.4 ,1459.4 ,11.40%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.5 ,1000,4512.88098693759,3610.3 ,1433.2 ,433.2 ,12.00%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.4 ,1000,4400,3520.0 ,1397.4 ,397.4 ,11.29%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.3 ,1000,4300,3440.0 ,1365.6 ,365.6 ,10.63%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.2 ,1000,4200,3360.0 ,1333.9 ,333.9 ,9.94%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.1 ,1000,4100,3280.0 ,1302.1 ,302.1 ,9.21%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.0 ,1000,4000,3200.0 ,1270.4 ,270.4 ,8.45%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.6 ,1000,4600,3680.0 ,1460.9 ,460.9 ,12.52%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.7 ,1000,4700,3760.0 ,1492.7 ,492.7 ,13.10%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.8 ,1000,4800,3840.0 ,1524.4 ,524.4 ,13.66%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,4.9 ,1000,4900,3920.0 ,1556.2 ,556.2 ,14.19%
9,3,12,19.9,39.70%,12.00%,27.7%,3.61 ,0.8,5.0 ,1000,5000,4000.0 ,1587.9 ,587.9 ,14.70%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,3.0 ,1000,2999.90733876946,2399.9 ,1288.0 ,288.0 ,12.00%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,2.9 ,1000,2900,2320.0 ,1245.1 ,245.1 ,10.56%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,2.8 ,1000,2800,2240.0 ,1202.2 ,202.2 ,9.03%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,2.7 ,1000,2700,2160.0 ,1159.2 ,159.2 ,7.37%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,2.6 ,1000,2600,2080.0 ,1116.3 ,116.3 ,5.59%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,3.1 ,1000,3100,2480.0 ,1331.0 ,331.0 ,13.35%
9,3,12,25.9,53.67%,12.00%,41.7%,2.40 ,0.8,3.2 ,1000,3200,2560.0 ,1373.9 ,373.9 ,14.61%
10,4,14,26.9,47.96%,12.00%,36.0%,2.78 ,0.8,3.5 ,1000,3476.53019023987,2781.2 ,1333.7 ,333.7 ,12.00%
10,4,14,26.9,47.96%,12.00%,36.0%,2.78 ,0.8,3.4 ,1000,3400,2720.0 ,1304.4 ,304.4 ,11.19%
10,4,14,26.9,47.96%,12.00%,36.0%,2.78 ,0.8,3.2 ,1000,3200,2560.0 ,1227.7 ,227.7 ,8.89%
10,4,14,26.9,47.96%,12.00%,36.0%,2.78 ,0.8,3.1 ,1000,3100,2480.0 ,1189.3 ,189.3 ,7.63%
10,4,14,36.9,62.06%,12.00%,50.1%,2.00 ,0.8,2.5 ,1000,2497.02252057168,1997.6 ,1239.7 ,239.7 ,12.00%
10,4,14,36.9,62.06%,12.00%,50.1%,2.00 ,0.8,2.4 ,1000,2400,1920.0 ,1191.5 ,191.5 ,9.98%
10,4,14,36.9,62.06%,12.00%,50.1%,2.00 ,0.8,2.3 ,1000,2300,1840.0 ,1141.9 ,141.9 ,7.71%
10,4,14,36.9,62.06%,12.00%,50.1%,2.00 ,0.8,2.2 ,1000,2200,1760.0 ,1092.2 ,92.2 ,5.24%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,2.3 ,1000,2257.70461434827,1806.2 ,1216.7 ,216.7 ,12.00%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,2.1 ,1000,2100,1680.0 ,1131.7 ,131.7 ,7.84%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,2.0 ,1000,2000,1600.0 ,1077.9 ,77.9 ,4.87%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,1.9 ,1000,1900,1520.0 ,1024.0 ,24.0 ,1.58%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,1.8 ,1000,1800,1440.0 ,970.1 ,-29.9 ,-2.08%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,1.7 ,1000,1700,1360.0 ,916.2 ,-83.8 ,-6.16%
10,4,14,42.9,67.37%,12.00%,55.4%,1.81 ,0.8,1.6 ,1000,1600,1280.0 ,862.3 ,-137.7 ,-10.76%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.1 ,1000,2085.28349826157,1668.2 ,1200.2 ,200.2 ,12.00%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.0 ,1000,2000,1600.0 ,1151.1 ,151.1 ,9.44%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,1.9 ,1000,1900,1520.0 ,1093.5 ,93.5 ,6.15%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,1.8 ,1000,1800,1440.0 ,1036.0 ,36.0 ,2.50%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.7 ,1000,2700,2160.0 ,1554.0 ,554.0 ,25.65%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,1.6 ,1000,1600,1280.0 ,920.9 ,-79.1 ,-6.18%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,1.5 ,1000,1500,1200.0 ,863.3 ,-136.7 ,-11.39%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,1.4 ,1000,1400,1120.0 ,805.8 ,-194.2 ,-17.34%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.5 ,1000,2500,2000.0 ,1438.9 ,438.9 ,21.94%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.6 ,1000,2600,2080.0 ,1496.4 ,496.4 ,23.87%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.7 ,1000,2700,2160.0 ,1554.0 ,554.0 ,25.65%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.8 ,1000,2800,2240.0 ,1611.5 ,611.5 ,27.30%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,2.9 ,1000,2900,2320.0 ,1669.1 ,669.1 ,28.84%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.0 ,1000,3000,2400.0 ,1726.7 ,726.7 ,30.28%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.1 ,1000,3100,2480.0 ,1784.2 ,784.2 ,31.62%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.2 ,1000,3200,2560.0 ,1841.8 ,841.8 ,32.88%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.3 ,1000,3300,2640.0 ,1899.3 ,899.3 ,34.07%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.4 ,1000,3400,2720.0 ,1956.9 ,956.9 ,35.18%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.5 ,1000,3500,2800.0 ,2014.4 ,1014.4 ,36.23%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.6 ,1000,3600,2880.0 ,2072.0 ,1072.0 ,37.22%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.7 ,1000,3700,2960.0 ,2129.5 ,1129.5 ,38.16%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.8 ,1000,3800,3040.0 ,2187.1 ,1187.1 ,39.05%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,3.9 ,1000,3900,3120.0 ,2244.6 ,1244.6 ,39.89%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.0 ,1000,4000,3200.0 ,2302.2 ,1302.2 ,40.69%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.1 ,1000,4100,3280.0 ,2359.8 ,1359.8 ,41.46%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.2 ,1000,4200,3360.0 ,2417.3 ,1417.3 ,42.18%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.3 ,1000,4300,3440.0 ,2474.9 ,1474.9 ,42.87%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.4 ,1000,4400,3520.0 ,2532.4 ,1532.4 ,43.53%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.5 ,1000,4500,3600.0 ,2590.0 ,1590.0 ,44.17%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.6 ,1000,4600,3680.0 ,2647.5 ,1647.5 ,44.77%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.7 ,1000,4700,3760.0 ,2705.1 ,1705.1 ,45.35%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.8 ,1000,4800,3840.0 ,2762.6 ,1762.6 ,45.90%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,4.9 ,1000,4900,3920.0 ,2820.2 ,1820.2 ,46.43%
10,4,14,49.9,71.94%,12.00%,59.9%,1.67 ,0.8,5.0 ,1000,5000,4000.0 ,2877.8 ,1877.8 ,46.94%
